News File Name, Sentences, Sum1 Sents, Sum2 Sents, Sum3 Sents, Sum4 Sents, Sum5 Sents, Words, Sum1 Words, Sum2 Words, Sum3 Words, Sum4 Words, Sum5 Words
TAB.SO.13910120.059,22,20,8,4,5,9,691,616,170,150,159,201
HAM.EC.13900619.089,13,2,4,10,5,5,511,75,145,395,147,164
HAM.CU.13910107.090,140,3,18,26,13,,5159,95,524,760,388,
TAB.CU.13900424.073,70,5,2,6,11,22,1556,180,125,194,336,402
JAM.SC.13910204.084,15,4,3,7,5,4,402,100,71,169,138,101
TAB.EC.13900331.079,24,1,2,23,11,1,1036,59,194,1066,342,49
PTV.EC.13900917.100,35,2,10,2,8,,922,130,198,70,206,
ALF.EC.13901207.026,13,6,2,5,6,5,393,126,83,149,222,130
ALF.PO.13910203.021,11,2,3,5,3,4,551,116,116,170,186,75
ALF.CU.13910117.019,11,5,1,7,3,7,548,294,111,196,120,216
HAM.SC.13901118.085,16,6,8,5,1,6,475,138,135,100,61,198
IRN.PO.13910203.037,7,3,3,3,5,2,279,120,124,129,178,68
HAM.SP.13910203.046,12,10,5,1,2,3,704,596,141,98,78,162
FAR.EC.13910131.011,10,3,3,2,2,4,600,108,134,125,85,178
IRN.SC.13910131.052,15,3,4,9,14,3,455,96,92,252,423,74
ALF.EC.13910204.022,8,6,3,2,2,5,338,125,86,108,122,198
TAB.PO.13910202.039,9,4,4,8,4,1,480,216,141,470,174,87
TAB.CU.13900428.077,11,3,5,5,3,3,440,139,103,192,106,160
HAM.SC.13900713.047,15,5,5,4,4,14,499,85,117,114,144,462
FAR.SP.13910202.013,6,2,2,7,2,2,238,64,65,239,72,101
JAM.EC.13910203.056,12,10,4,4,3,4,545,374,171,135,120,148
ALF.SO.13910130.017,9,3,7,2,3,4,391,133,246,72,125,123
FAR.EC.13910203.008,102,2,10,1,22,,3010,84,182,84,411,
FAR.CU.13910203.004,4,1,3,4,6,3,230,70,74,126,125,182
IRN.PO.13910204.031,6,1,3,3,3,5,199,28,51,71,120,108
JAM.SC.13900924.065,25,11,20,3,7,8,767,269,571,70,142,188
TAB.CU.13900522.091,5,3,4,3,1,1,385,136,327,205,66,58
HAM.EC.13900802.083,19,3,7,9,7,8,537,130,149,228,179,262
JAM.SP.13900813.078,23,6,10,4,10,4,713,159,201,181,223,88
HAM.SO.13900802.050,34,9,30,2,4,5,832,203,683,109,204,134
HAM.CU.13900115.094,17,5,7,6,5,3,706,268,416,188,185,101
JAM.CU.13901214.063,13,1,11,4,6,5,605,58,497,120,164,175
